# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
4,1753022582.688582,12800,-1.864050269126892,32.02699279785156,0.9278846383094788,52.311988830566406,1.914272665977478,32.44447326660156
5,1753022585.3011642,16000,-1.864050269126892,32.02699279785156,1.9526300430297852,30.967031478881836,1.914272665977478,32.44447326660156
6,1753022636.49701,19200,-2.545604705810547,23.176366806030273,1.9526300430297852,30.967031478881836,1.914272665977478,32.44447326660156
7,1753022639.809671,22400,-2.545604705810547,23.176366806030273,1.9526300430297852,30.967031478881836,2.5491583347320557,21.606298446655273
8,1753022645.042253,25600,-2.545604705810547,23.176366806030273,2.600965976715088,22.251893997192383,2.5491583347320557,21.606298446655273
9,1753022698.327561,28800,-2.9082775115966797,15.662206649780273,2.600965976715088,22.251893997192383,2.5491583347320557,21.606298446655273
10,1753022700.149645,32000,-2.9082775115966797,15.662206649780273,2.600965976715088,22.251893997192383,2.923950672149658,14.784841537475586
11,1753022706.894607,35200,-2.9082775115966797,15.662206649780273,2.9436070919036865,13.543961524963379,2.923950672149658,14.784841537475586
12,1753022756.698901,38400,-3.1130988597869873,3.100316047668457,2.9436070919036865,13.543961524963379,2.923950672149658,14.784841537475586
13,1753022759.172651,41600,-3.1130988597869873,3.100316047668457,2.9436070919036865,13.543961524963379,3.1300055980682373,2.680576801300049
14,1753022769.791272,44800,-3.1130988597869873,3.100316047668457,3.14536190032959,2.330667734146118,3.1300055980682373,2.680576801300049
15,1753022819.515681,48000,-3.214979410171509,22.240224838256836,3.14536190032959,2.330667734146118,3.1300055980682373,2.680576801300049
16,1753022821.433364,51200,-3.214979410171509,22.240224838256836,3.14536190032959,2.330667734146118,3.22518253326416,21.935380935668945
17,1753022832.175023,54400,-3.214979410171509,22.240224838256836,3.2441234588623047,25.435007095336914,3.22518253326416,21.935380935668945
18,1753022878.901983,57600,-3.3007826805114746,2.1419997215270996,3.2441234588623047,25.435007095336914,3.22518253326416,21.935380935668945
19,1753022881.9914901,60800,-3.3007826805114746,2.1419997215270996,3.2441234588623047,25.435007095336914,3.3087077140808105,2.8679358959198
20,1753022897.110462,64000,-3.3007826805114746,2.1419997215270996,3.3260440826416016,2.1124472618103027,3.3087077140808105,2.8679358959198
